일자,기온 평균,기온 표준편차,기온 최고,기온 최저,강우량 (mm),일사량 (MJ/m2)
2020-01,2.3,3.2,11.6,-5.8,9.5,159.75
2020-02,2.8,1.8,18.7,-11.2,50,363.26
2020-03,6.4,0.7,22.8,-5.1,21,547.47
2020-04,9,-1.7,26.3,-4.4,18,683.44
2020-05,17.4,0.4,29.1,7.1,78.5,623.74
2020-06,22.7,1.8,34,12.2,157,605.84
2020-07,23.3,-1.6,32,17.3,529,432.96
2020-08,27.1,1,34.1,21.9,549.5,533.87
2020-09,20.5,-1,33.6,10.4,169.5,478.28
2020-10,13.1,-1.9,25.8,0.6,6,459.72
2020-11,8.1,0.1,23.1,-2.5,53.5,304.57
2020-12,0.2,-2.2,12.8,-14.3,11,290.15
2021-01,-1.5,-3.6,13.3,-22.1,23.5,294.44
2021-02,2.6,0,20.9,-9.1,16,370.02
2021-03,7.4,1,22.3,-2.8,117,493.2
2021-04,12,3.1,26.1,-0.8,37.5,616.62
2021-05,16.5,-0.9,29.6,3,73.5,608.15
2021-06,22.6,-0.1,34,-10.2,151.5,647.36
2021-07,26.7,3.4,35.7,20.7,193.5,637.48
2021-08,25.3,-1.9,34.4,19,406,536.49
2021-09,21.9,1.5,30.6,12.9,151,451.94
2021-10,15.1,1.9,31.1,-0.2,37,455.45
2021-11,8.4,0.2,23,-2.6,96,287.18
2021-12,1.8,1.7,13.6,-12.5,10.5,272.85
2022-01,-1.6,0,9.9,-11,2,321.18
2022-02,-1.1,-3.7,14.8,-13.4,6,397.21
2022-03,6.6,-0.8,22.1,-6.7,65,439.16
2022-04,12.3,0.3,26.7,-1.8,72,644.4
2022-05,17.3,0.8,29.8,3.4,3,785.77
2022-06,23.1,0.6,31.7,12.4,175,595.24
2022-07,26.6,-0.1,37,20.1,134,593.49
2022-08,25.8,0.5,34,14.7,216.5,502.61
2022-09,21.1,-0.8,32.2,9.6,76.5,495.47
2022-10,13.4,-1.5,29.7,-1,42.5,474.01
2022-11,9,0.6,25.1,-3.2,51,321.57
2022-12,-2.5,-4.3,11.6,-20.4,40,260.28
2023-01,-0.8,0.8,16.1,-14.7,29.5,321.63
2023-02,1,2.1,14.2,-8.4,6,365.04
2023-03,7.5,0.9,24.4,-7.6,27.5,548.9
2023-04,12.2,-0.1,25.3,-1.5,40,535.63
2023-05,18,0.8,30.5,4.5,224.5,624.61
2023-06,22.7,-0.4,34.2,14.4,113,639.6
2023-07,26.3,-0.3,35.5,20.6,674.5,513.51
2023-08,27,1.2,35.9,19.5,261.5,617.92
2023-09,22.8,1.7,32.6,13.1,179.5,477.52
2023-10,14.7,1.2,25,3.2,12,465.23
2023-11,8.1,-0.9,27.3,-3.6,91,298.63
2023-12,2.7,5.2,19.2,-14.6,120,218.49
2024-01,0.9,1.7,12.4,-11,45,280.67
2024-02,4.3,3.3,18,-4.4,105,275.94
2024-03,6.1,-1.4,21,-10.3,72.5,480.98
2024-04,13.9,1.7,28,1.9,46.5,542.63
2024-05,17.3,-0.7,29.1,6.5,80,725.46
2024-06,22.8,0.1,35.9,12.2,65,667.85
2024-07,27,0.7,34.7,21.3,330,544.47
2024-08,28.4,1.4,35.8,20.7,3,675.8
2024-09,25.4,2.6,36.1,14.2,101,510.96
2024-10,15.8,1.2,26.6,4.1,76,361.35
2024-11,9.2,1,23.8,-4.1,43.5,299.63
2024-12,1.9,-0.8,16.4,-7.4,19.5,252.6
