일자,기온 평균,기온 표준편차,기온 최고,기온 최저,습도 (%),강우량 (mm),일사량 (MJ/m2),결로시간 (min),평균 풍속 (m/s),최대 풍속 (m/s)
2020-01,-1.5,5,10.7,-12.4,72.1,76.5,250.4,1263,0.7,9.4
2020-02,-0.1,6.1,15.5,-18.2,71.9,47,292.6,745,0.9,11
2020-03,5.3,6.2,20.4,-8.4,57.9,15.5,490,1377,1.3,13.2
2020-04,9,5.8,22.8,-5.6,53.4,20,573.1,1007,1.6,12.5
2020-05,16.6,4.7,29.2,4.9,73.2,172.5,486.4,1361,1,11
2020-06,22.4,4.5,35.4,12.4,71.9,104,549.6,1430,0.9,10.9
2020-07,22.6,3.4,32,16,80,203.5,441.2,1182,0.9,13.1
2020-08,24.9,2.6,34.7,19.3,89.2,920,308,1312,0.8,11.3
2020-09,18.5,4.3,30.4,6.7,81.1,171,416.2,1310,0.8,11.4
2020-10,10.3,6.2,22.8,-3.1,74.7,3.5,409.9,453,0.4,8.6
2020-11,4.8,6.7,19.8,-9.4,71,93,268.7,1102,0.6,10.4
2020-12,-3.9,6.2,10.1,-19.2,65.5,1.5,246.1,947,0.7,8.8
2021-01,-5.9,7.5,13.1,-21.9,64.5,9.5,256.5,903,0.9,12
2021-02,0.1,6.7,17.6,-13.4,59.2,5.5,330,609,1.3,10.1
2021-03,6.3,5.9,22,-7.7,68.2,104.5,461.9,726,1.1,13.7
2021-04,11.9,5.6,28.3,-0.7,60.4,102,539.9,567,1.2,13
2021-05,15.1,5.3,29.6,2.4,74.2,237,503.4,1052,1,11.2
2021-06,20.8,4.1,31.6,11.6,79.1,74,522.6,1157,0.7,9.5
2021-07,25.9,4.4,36.1,17.9,80.7,130.5,572.7,1358,0.5,7.8
2021-08,23.4,3.5,32.3,15.8,83.7,242.5,431.9,1419,0.6,8.8
2021-09,19.8,4,29.7,11.8,80.8,111,428.3,1370,0.5,10
2021-10,12.2,7.2,27.5,-3.8,82.2,132,336.1,1270,0.5,10.4
2021-11,5,5.7,20.6,-7.9,73.7,58.5,243.5,568,0.7,13.1
2021-12,-2.2,6.3,11.8,-18.9,69.5,7.5,222.3,859,0.7,9.6
2022-01,-5.9,5.9,6.6,-20,66.9,3.5,274.5,971,0.6,8.8
2022-02,-4,6.1,9.8,-16.7,59.6,10.5,345,1388,1.2,10.2
2022-03,5.1,5.4,17.9,-8.7,66.2,98.5,411.2,898,1.3,11.4
2022-04,12.4,6.3,28.6,-3,56.7,20,576.4,533,1.4,10
2022-05,16.3,6,29.7,1.3,61.7,19,624.5,623,1.1,13.9
2022-06,20.9,4.3,32.9,9.4,80,2,417.6,1337,1,11.1
2022-07,25.2,3.5,35.1,18.9,85.5,161.5,492.3,1430,0.5,8.9
2022-08,23.8,3.8,32.2,10.9,87.9,421,410.9,1211,0.7,8.4
2022-09,19,5.6,31,6.8,80.7,275,452.7,741,0.6,11.1
2022-10,10.8,5.8,26.7,-2.6,81.7,159.5,363.9,1168,0.5,7.4
2022-11,6.4,6,20.8,-9.8,78.8,105.5,235.7,931,0.5,10.3
2022-12,-6.8,6.1,7.6,-20.9,68.2,5,242.1,630,0.7,9.6
2023-01,-5.8,6.5,9.5,-22.5,74.1,46,249.2,1178,0.7,8.4
2023-02,-1.1,4.9,11.3,-12.2,67.6,1,325.4,697,0.7,8.6
2023-03,6.6,6.9,23.8,-6.7,56.9,13,473.3,668,1.1,9.7
2023-04,11.5,5.4,27.4,-2,64.9,104,455.5,1300,1.3,10.2
2023-05,17,5.8,30.3,2.2,69.4,149,574.2,1206,1.1,9.1
2023-06,21.5,4.4,33.3,10.9,78.4,200,539,985,0.8,8.1
2023-07,25.4,3.3,34.2,17.1,86,357,479.4,954,0.9,9.2
2023-08,25.1,3.8,34.4,17.7,85.5,284.5,464.9,1398,0.7,9.9
2023-09,21.1,4.3,32.7,11.3,84.5,107.5,416.2,938,0.5,6.8
2023-10,11.8,5.3,23.4,-1.4,81.8,23,387.2,840,0.5,10.8
2023-11,4,8,24.7,-11.3,72.7,106,243.3,882,1,13.8
2023-12,-2.1,7.8,15.9,-18.7,76.7,65,196.9,864,1,11.9
2024-01,-3.3,5.6,9.2,-16.7,72.3,11,242.5,608,0.9,11.7
2024-02,1.2,4.7,17.5,-9.3,77.3,55,254.4,1291,0.9,10.1
2024-03,4.4,5.8,22.5,-10.9,61.9,45,434.7,589,1.3,11.7
2024-04,14,5.8,29.5,-1.3,63.4,21,511.8,657,1.2,8.4
2024-05,16.2,5.4,28,3.9,72.4,149,561,1069,1.1,11.7
2024-06,22.4,5.4,35.8,8.9,69.6,69.5,625.1,1336,0.9,7.7
2024-07,25.1,2.7,33.4,19.2,87.5,773,379.5,1184,1.2,10.7
2024-08,27.1,3.7,36.4,17.3,83.4,183.5,543.9,1035,0.6,7.2
2024-09,22.3,4.6,34.8,9.7,83.7,137.5,409.5,1276,0.7,8
2024-10,13.1,4.8,25.1,2.8,84.8,59,324.1,1293,0.5,11.4
2024-11,6.1,7.3,21.8,-7.7,76.3,38.5,263.5,1120,0.6,11.5
2024-12,-3.2,5.4,11.8,-16.3,66.1,6,242.6,796,0.8,8.5
,,,,,,,,,,
