일자,기온 평균,기온 표준편차,기온 최고,기온 최저,습도 (%),강우량 (mm),일사량 (MJ/m2),결로시간 (min),평균 풍속 (m/s),최대 풍속 (m/s)
2020-01,1.1,4.3,12.8,-8.3,69.4,88,260.8,0,1,14.6
2020-02,2.2,5.9,19.4,-12.5,65.8,49,368,0,1.1,12.5
2020-03,6.8,6.1,23.8,-7.5,58.3,36,538,0,1.3,14.5
2020-04,9.3,6,26.8,-3.8,52.6,44.5,633.2,0,1.3,13.6
2020-05,16.8,5.2,30,2,71.5,73.5,615.1,0,0.9,10.2
2020-06,21.8,4.8,34.4,8.2,77,148,572.3,0,0.6,9.3
2020-07,21.5,3.2,30.6,14.1,89.2,526,360.7,0,0.4,8.9
2020-08,25.5,3.3,36.2,19.4,86.6,492.5,451.6,0,0.5,10.5
2020-09,18.1,4.7,28.7,6.4,84.4,131.5,379.1,0,0.6,12.2
2020-10,12,5.8,25.9,-0.5,70.4,10,457.7,0,0.8,11.1
2020-11,7,5.8,21,-5,65.8,23,320.3,0,1.1,11
2020-12,-0.6,4.8,12,-10.3,59.5,2.5,295.4,0,1.4,13.3
2021-01,-0.8,6.2,13.3,-16.5,61.6,10,262.7,0,1.3,13.5
2021-02,2.5,6.8,21.6,-10.6,53.3,22.5,384,0,1.4,13.4
2021-03,7.9,5.7,22.7,-5.8,65.3,86,487.9,0,1.1,12.2
2021-04,12.1,5.8,27.5,-1,55.6,49,583.7,0,1.2,11
2021-05,15.5,5.8,29,0.5,72.1,91.5,534.2,0,0.9,11.3
2021-06,20.8,4.5,32.1,7.4,78.1,75,520.7,0,0.6,10
2021-07,24.6,4,35,16.5,82.7,173.5,551.8,0,0.5,15.1
2021-08,23.5,3.6,35.5,17.3,86.4,297.5,427,0,0.5,11
2021-09,19.5,3.6,30.3,10.6,86,101.5,348.7,0,0.5,9.4
2021-10,13.4,7.3,30.1,-2.7,79,51,423.4,0,0.6,8.7
2021-11,6.4,5.3,19.8,-6.2,71.4,40.5,304.2,0,0.9,12.5
2021-12,0.9,5.4,14.7,-11.9,61.4,0,306.4,0,1.4,14.8
2022-01,-1.3,5,10.9,-12.5,49.6,0,348.8,0,1.2,11.1
2022-02,-1.1,5.2,15.1,-13.9,45.6,0,415.5,0,1.5,13.2
2022-03,7,6.4,23.5,-5.5,59.6,80,455.9,0,1.1,14.8
2022-04,12.9,6.8,30.2,-1.8,59.2,2,571.1,0,0.9,11.2
2022-05,17,6.7,32,0.6,55.6,0,684.3,0,0.9,9.9
2022-06,21.8,5.6,34.5,9.4,74.8,71,520.2,0,0.8,7.9
2022-07,25.1,3.8,34.9,16.4,80.1,104.5,484.6,0,0.6,10.8
2022-08,24.2,4.3,35.1,11.6,84.5,98,408.9,0,0.5,10.4
2022-09,19.3,5.1,32.6,6.3,79.6,68.5,405.5,0,0.7,11.6
2022-10,12.3,6.4,30.3,-2.1,74.5,19.5,448.9,0,0.7,12.4
2022-11,7.7,6.3,22.7,-5.8,69.3,40,319.2,0,0.8,11.2
2022-12,-1.9,5,13.3,-13.7,59,4,293.1,0,1.2,14.6
2023-01,-1.5,6.2,16.5,-16.5,58.8,26.5,330.4,0,1.1,14
2023-02,1.6,5.4,17.2,-10.4,56.1,9,371.2,0,0.9,11.1
2023-03,8.4,6.8,24.9,-6.6,53.9,26.5,501.1,0,0.9,11.3
2023-04,11.8,6.2,28.3,-2,62.8,36.5,493.3,0,1,13
2023-05,16.6,6,33.2,1.3,72.6,160.5,510.6,0,0.7,11.8
2023-06,21.4,4.9,33.6,10.9,75.9,201.5,558.4,0,0.6,8.3
2023-07,24.5,3.5,35.3,16.3,87.5,372,435.8,0,0.5,8.1
2023-08,25.6,3.8,35.8,16.8,83.8,220,458.8,0,0.5,11.6
2023-09,21.2,4.2,31.6,11.7,85.3,103,396.3,0,0.3,5.8
2023-10,12.5,5.7,25.2,0.3,75.4,1,462,0,0.5,10.3
2023-11,6.4,7.3,28.9,-6,65.5,46.5,334.9,0,1,11.1
2023-12,1.3,6.5,18.9,-11.5,71,132,255.5,0,0.9,12.2
2024-01,0,5.2,15.9,-12.3,64,18.5,319.3,0,1.1,11.6
2024-02,2.8,4.9,17.3,-7.1,78.3,88,262.3,0,0.7,10.8
2024-03,5.5,6.1,23,-10.3,62.5,64.5,455.1,0,1,14
2024-04,13.9,5.7,29.4,2,71.1,73.5,448.6,0,0.6,8.3
2024-05,16.7,6.5,31.9,3.7,67.8,58.5,606,0,0.8,10.7
2024-06,21.4,5.5,35.6,8.3,72,88,536.2,0,0.6,8.3
2024-07,25.4,3.3,34.9,18.4,85,275.5,420.8,0,0.5,8.8
2024-08,26.5,4,35.6,17.5,80.9,32.5,502.4,0,0.5,7
2024-09,23.4,4.9,35.6,10.7,84,113.5,389,0,0.4,10.7
2024-10,14.2,4.6,25.6,1.3,83.9,50,330.8,0,0.4,9.4
2024-11,7.9,5.7,23.5,-5.1,75,25,289.1,0,0.7,12.4
2024-12,1,4.2,16.6,-9.8,58.4,0.5,300.2,0,1.1,12.4
