일자,기온 평균,기온 표준편차,기온 최고,기온 최저,습도 (%),강우량 (mm),일사량 (MJ/m2),결로시간 (min),평균 풍속 (m/s),최대 풍속 (m/s)
2020-01,0,4.8,14.4,-11.4,76.2,125,233,1322,1.1,13.5
2020-02,1.1,5.9,16.7,-14.4,69,59.5,334.5,1312,1.3,12.2
2020-03,5.5,6,21.6,-9.6,65.3,17.5,499.8,1430,1.3,14.4
2020-04,8.6,5.9,24.7,-5.6,60.1,36,592.2,942,1.6,13.4
2020-05,15.6,5.4,28.7,0.7,74.2,48.5,575.1,1415,1,11.4
2020-06,20.8,5.1,33.7,7.7,75.7,134.5,539,1090,0.7,8.6
2020-07,20.5,3.6,30.3,11.7,88.4,379,362,1390,0.8,11.4
2020-08,25.2,3.4,33.9,18.8,85.7,194,481.4,1373,0.6,9.5
2020-09,17.9,4.5,27.6,6,84.9,358.5,368.6,1090,0.8,18.8
2020-10,11,5.8,24.5,-2.1,78.2,7.5,407.7,1248,0.7,9.6
2020-11,5.7,6.5,21.6,-7.8,70.2,33.5,286.4,1364,0.9,10.5
2020-12,-2.5,5.5,11.4,-17,60,1,283.3,371,1.2,11.3
2021-01,-3.4,7.1,13.8,-19,63.3,13,291.5,1270,1.4,12.8
2021-02,1.2,6.7,21.4,-11.9,58.6,15,357.3,638,1.5,12.4
2021-03,6.4,6,21.4,-7.1,70.8,101,449.2,1067,1.2,11.6
2021-04,10.5,6,26.2,-2.9,63.7,56.5,559.9,952,1.5,11.6
2021-05,14.5,5.4,27.7,0.7,75.9,133,495.5,1348,0.9,11.6
2021-06,19.5,4.3,30.2,7,81.4,59,475.2,1414,0.5,18.7
2021-07,23.9,4,34.2,14.9,84.1,216.5,523.8,1164,0.4,8.7
2021-08,22.9,3.5,34.5,17,88.1,277.5,373.6,1282,0.3,8.5
2021-09,19.1,3,29.7,12,86.8,195,330.9,1267,0.6,10.5
2021-10,12.6,7,29.8,-2.4,85.1,65,358.2,1202,0.5,9
2021-11,5.4,5.5,18.3,-6.6,75.1,50,294.3,698,0.8,11.8
2021-12,-0.6,5.8,13,-15.4,64.6,0,290.8,294,1.2,15.1
2022-01,-3.6,6,10.6,-17.3,59.9,0.5,321.4,890,0.7,11.5
2022-02,-2.4,5.7,12.4,-16,54.1,0,392.9,283,1.8,12.7
2022-03,5.5,6.3,20.8,-9,67.5,55,437.2,1343,1.5,13.5
2022-04,11.4,7.2,28.1,-3.8,63.7,33,585.9,1389,1.4,10.9
2022-05,15.9,6.9,30.7,1.6,61.8,2.5,677.6,554,1.1,9.6
2022-06,20.7,6,34.7,7.7,76.6,130,513.6,1175,1.1,8.9
2022-07,24.2,3.7,33.7,16.7,83.4,116.5,494.4,944,0.8,7.6
2022-08,23.4,4.4,35.4,9.7,85.3,154.5,413.3,1276,0.7,8.1
2022-09,18.5,4.8,30.4,6.5,83.5,96,384.9,1090,1.1,14.2
2022-10,11.1,6.1,26.9,-2.9,81,35,379.4,1251,0.9,10.9
2022-11,6.4,6.9,23.5,-6.9,76.5,59,273.8,707,1,11
2022-12,-3.8,5.4,10.2,-16.9,64.8,6.5,269.5,435,1.5,12.3
2023-01,-3.4,6.5,15,-20.2,65.1,17.5,296,1430,1.4,13.5
2023-02,0,5.9,15.6,-12.6,65.9,10,336.4,823,1.2,11.4
2023-03,7,7.1,23,-8.6,61.8,39,503.3,1291,1.3,11.5
2023-04,10.9,5.8,25.8,-2.9,66.8,47,539.7,1324,1.6,11.1
2023-05,15.5,6.2,30.6,0.5,73.9,147.5,534.9,1229,1,9.9
2023-06,20.5,4.9,31.4,7.6,79.1,159,548.6,1380,0.9,8.1
2023-07,24.2,3.9,34.8,15.9,86.3,309.5,467.9,1303,0.7,10.4
2023-08,24.8,3.7,35.2,17.2,85.4,411,476.5,1430,0.9,12.8
2023-09,20.7,3.7,30,12.1,87.7,214.5,375.1,1354,0.8,10
2023-10,11.4,5.6,23,-1.2,81.4,5,412.3,747,0.8,11.2
2023-11,5,7.5,26.1,-10.9,70,29,308.4,1323,1.2,16.9
2023-12,-0.1,6.9,18.1,-13.2,70.4,112.5,246.1,1197,1.4,14
2024-01,-1.5,5.5,13,-14.5,71.2,35,281,1015,1.4,12.5
2024-02,1.8,4.9,17.9,-9.2,82,107.5,223.6,1201,1.2,11.9
2024-03,4.8,5.9,21.2,-11.8,67,75.5,450.3,998,1.6,13.7
2024-04,12.7,5.9,28.6,-1.2,71.1,49.5,502.6,1189,1.4,11.6
2024-05,15.4,6.5,29.5,1.8,71.5,110.5,629.3,1155,1.2,11.5
2024-06,20.6,5.7,34.8,6.2,76.2,113.5,556.2,1285,0.9,8.9
2024-07,25,3.4,33.3,15.7,84.6,255,460.6,1417,0.9,10
2024-08,25.8,3.9,34.8,18.1,82.2,40.5,575,1104,0.9,10.4
2024-09,22.3,4.6,34.4,9.1,85.9,335,390.6,1319,0.9,9.9
2024-10,14,4.4,26.1,3.9,86.5,78.5,296.4,1363,0.8,12.1
2024-11,7.1,5.8,22.3,-5.1,81.8,39,251.6,1213,0.9,11.3
2024-12,-0.8,4.9,16.5,-13,62.2,2,287.2,403,1.4,11.8
,,,,,,,,,,
