일자,기온 평균,기온 표준편차,기온 최고,기온 최저,습도 (%),강우량 (mm),일사량 (MJ/m2),결로시간 (min),평균 풍속 (m/s),최대 풍속 (m/s)
2020-01,0.1,4.2,14.6,-10.2,75.8,97,256,1430,1.3,19.2
2020-02,1.2,5.8,17.1,-14.1,69.4,61.5,351.4,1424,1.5,14
2020-03,5.5,5.6,20,-7.5,61.5,48.5,511.4,1078,1.9,18
2020-04,7.7,5.3,22.4,-4.3,55.3,44.5,614.3,932,2.1,16.6
2020-05,15.8,4.4,26.9,4.2,72.8,86.5,629.3,1319,1.7,12.1
2020-06,20.7,4,31.3,8.9,79.5,228,566.1,1428,1.4,13.5
2020-07,20.6,2.9,29.9,13.7,89.1,603,384,1399,1.3,14
2020-08,24.5,2.6,32.7,17.7,86.2,679.5,452.8,1259,2.1,15.5
2020-09,17.2,4.2,28.4,6.3,85.6,252,375.7,1360,1.1,17.5
2020-10,11,5.2,22.9,-1,73.5,9.5,423.9,966,1,8.9
2020-11,6.5,5.7,20.5,-4.3,67.2,62,310.4,1080,1.5,15.2
2020-12,-1.6,4.6,11,-13.1,68.4,10.5,281,654,1.5,11.5
2021-01,-2.8,7,13.3,-22.2,70.5,37,307.3,1430,1.9,15.6
2021-02,1.5,6.6,18.7,-11.6,59.6,34,363.6,723,2,15.4
2021-03,7.1,5.3,21.1,-5.3,67,113.5,475.7,1383,1.7,12.4
2021-04,11.3,5.4,25.1,-1.6,55.6,57,570.3,1430,1.9,14.5
2021-05,14.6,5.2,26.8,1.4,70.9,147.5,561.9,1423,1.9,12.9
2021-06,19.9,3.6,29.9,11.3,71.9,131,557.1,1143,1.4,14.3
2021-07,23.7,3.4,32.2,16.2,81,218.5,581.2,1330,1.4,17.1
2021-08,22.6,3.3,32,15.1,86.5,403,463.7,1361,1.2,14.9
2021-09,19.1,3.1,29.3,10.8,84.4,128.5,390.9,1208,1.1,10.7
2021-10,12.7,6.9,27.6,-3,78.2,50.5,416.2,1409,1,11
2021-11,6,4.8,19.1,-3.7,74.6,94,297.5,1341,1.4,14.4
2021-12,-0.1,5.4,12.6,-14.4,70.3,3.5,282.5,815,1.8,14.6
2022-01,-3,4.8,8.5,-13.4,61.4,0.5,348.4,501,1.3,10.7
2022-02,-2.8,5,11.8,-12.9,57.1,4.5,380.6,343,1.8,13.2
2022-03,5.9,5.7,19.4,-5.8,65.2,98.5,445.8,1227,1.9,13
2022-04,12.2,5.9,25.7,-2.8,58.6,61,605,1415,1.7,11.6
2022-05,15.7,5.5,29.4,0.5,58.3,4,738.3,1138,1.5,14.4
2022-06,20.6,4.4,31.5,9.3,78,208.5,544.7,997,1.7,14.5
2022-07,23.6,3.1,31.8,16.7,84.5,176,543.9,1414,1.2,13.9
2022-08,23.2,3.4,31.4,10.8,85.9,173.5,419.3,1222,1.8,16.6
2022-09,18.7,4.9,30.8,6.7,80.9,75.5,445.1,1388,0.9,14.2
2022-10,11.4,6,28.1,-2.2,76.6,66,441.7,1165,1.2,13.7
2022-11,7.7,5.7,21,-7.8,69.6,79,313.6,731,1.1,10.6
2022-12,-3.6,4.9,10.3,-15.5,69.5,25,280.8,955,1.5,13.9
2023-01,-2.6,6.3,14.5,-20.7,68.6,27.5,319.7,1138,1.6,13.6
2023-02,0.3,4.8,12.2,-10.7,62.5,17,357.3,1118,1.3,12.7
2023-03,7.9,6.2,21.6,-8,53,31,506.3,1041,1.7,12.1
2023-04,11,5.5,25.2,-2.4,62.9,71.5,497.4,1246,1.9,13.4
2023-05,15.9,5,28.4,0.5,73.6,229,554.4,1379,1.4,12
2023-06,20.4,4.1,32.2,11,76.2,336.5,583.9,1309,1.4,12.4
2023-07,23.5,2.7,32.1,17.6,87.2,720.5,461.6,1205,1.8,13
2023-08,24.3,3.4,34.5,16.1,86.3,309.5,483.7,1334,1.1,12.9
2023-09,20.3,3.9,30.6,11.3,86.5,155,430.7,1430,0.9,10.8
2023-10,12.1,4.8,22.9,0.8,76.6,12,427.1,1063,1,9.1
2023-11,5.9,7.3,23.6,-8.6,69.4,97.5,306.8,1315,1.9,16.8
2023-12,0.9,7.1,18.5,-15.1,76,162,248,1292,1.7,12.6
2024-01,-0.9,5.2,13.1,-12.7,72.7,47,302.7,1370,1.6,12.9
2024-02,2.5,4.6,14.8,-7.7,78.6,123,281.1,1361,1.4,11.6
2024-03,4.5,5.8,20.7,-11.5,65.2,89.5,436.8,1424,1.7,14.4
2024-04,13.5,4.9,26.7,2.7,70,93,489.1,1279,1.3,12.2
2024-05,15.7,5.5,28.4,4.1,68.9,120.5,705.1,1430,1.6,13.9
2024-06,20.3,4.8,32.7,7.8,73.8,177.5,602.9,1410,1.3,11.9
2024-07,24.3,2.2,31,19.3,85.9,491.5,469.1,991,2.3,13.8
2024-08,25.2,3.4,34.2,17.7,84.1,36.5,573.7,1009,1.1,10.4
2024-09,22.5,4.4,33.4,11,83.9,217,453.5,1396,0.9,12
2024-10,13.5,4.3,22.7,1.8,84.6,93.5,343.5,1430,1,11
2024-11,7.3,5.7,21.2,-4.2,75.9,70,297.3,1401,1.4,17.4
2024-12,-0.5,3.8,12.5,-11.9,70.3,15.5,276.2,1130,1.7,12.1
,,,,,,,,,,
